market_hash_name,mean_price_usd,volatility,spike_count,risk_score_SVM,formula_price,ml_price,price_difference
Sealed Graffiti | Grimace (Jungle Green),0.0536912751677852,,10,1,0.040268456375838896,0.0,-0.040268456375838896
MP9 | Capillary (Factory New),0.06,,10,1,0.045,0.0,-0.045
StatTrak™ SCAR-20 | Green Marine (Well-Worn),0.0921985815602836,0.2773500981126146,6,1,0.0691489361702127,0.0,-0.0691489361702127
Galil AR | Acid Dart (Factory New),0.0266666666666666,,22,1,0.01999999999999995,0.0,-0.01999999999999995
Souvenir Glock-18 | Candy Apple (Minimal Wear),457.56390977443607,0.2196631878212498,7,1,343.17293233082705,362.4848999203374,19.311967589510346
MP9 | Capillary (Well-Worn),0.1216216216216216,,9,1,0.0912162162162162,0.0,-0.0912162162162162
MP9 | Cobalt Paisley (Battle-Scarred),0.4066666666666667,,16,1,0.305,0.0,-0.305
Souvenir PP-Bizon | Facility Sketch (Factory New),0.2466666666666666,,57,1,0.18499999999999994,0.0,-0.18499999999999994
Galil AR | Akoben (Factory New),0.2466666666666666,,21,1,0.18499999999999994,0.0,-0.18499999999999994
MP9 | Cobalt Paisley (Field-Tested),1.1,,18,1,0.8250000000000001,0.0,-0.8250000000000001
Souvenir Glock-18 | Green Line (Factory New),17.782608695652176,0.3453739623292202,2,1,13.336956521739133,11.0,-2.3369565217391326
Galil AR | Akoben (Well-Worn),0.0748299319727891,,11,1,0.05612244897959183,0.0,-0.05612244897959183
MP9 | Cobalt Paisley (Well-Worn),0.6666666666666666,,27,1,0.5,0.0,-0.5
Sealed Graffiti | Twin Koi,0.0780141843971631,,24,1,0.05851063829787232,0.0,-0.05851063829787232
R8 Revolver | Junk Yard (Factory New),0.1666666666666666,,21,1,0.12499999999999994,0.0,-0.12499999999999994
StatTrak™ Glock-18 | Umbral Rabbit (Well-Worn),0.06,,27,1,0.045,0.0,-0.045
Sealed Graffiti | Grimace (Tracer Yellow),0.0808823529411764,,10,1,0.060661764705882304,0.0,-0.060661764705882304
MP9 | Dart (Factory New),1.106666666666667,,43,1,0.8300000000000002,1.0,0.16999999999999982
Galil AR | Aqua Terrace (Field-Tested),518.4948453608248,1.0878377943758897,29,1,388.87113402061857,182.0,-206.87113402061857
Galil AR | Aqua Terrace (Minimal Wear),283.84507042253523,0.2871976200148446,10,1,212.88380281690144,215.69753417992277,2.8137313630213328
MP9 | Dart (Field-Tested),0.0666666666666666,,19,1,0.04999999999999995,0.0,-0.04999999999999995
MP9 | Dart (Minimal Wear),0.52,,13,1,0.39,0.0,-0.39
Galil AR | Black Sand (Factory New),0.58,,23,1,0.43499999999999994,0.29,-0.14499999999999996
StatTrak™ FAMAS | Crypsis (Minimal Wear),0.0466666666666666,,11,1,0.03499999999999995,0.0,-0.03499999999999995
StatTrak™ MP9 | Broken Record (Field-Tested),0.3421052631578947,0.3666396093912974,6,1,0.256578947368421,0.0,-0.256578947368421
Souvenir PP-Bizon | Irradiated Alert (Battle-Scarred),0.0472972972972973,,12,1,0.03547297297297297,0.0,-0.03547297297297297
Sealed Graffiti | Uh Oh (Blood Red),0.1875,,11,1,0.140625,0.0,-0.140625
MP9 | Deadly Poison (Minimal Wear),0.0333333333333333,,11,1,0.024999999999999974,0.0,-0.024999999999999974
Sealed Graffiti | Guardian Dragon,1.3,0.2548727021917224,8,1,0.9750000000000001,1.2266248745211648,0.25162487452116467
MP9 | Dry Season (Battle-Scarred),10.376068376068377,1.4612268710564276,6,1,7.782051282051283,9.130504434373606,1.3484531523223229
StatTrak™ AUG | Arctic Wolf (Well-Worn),7.42962962962963,0.3763415165229094,6,1,5.572222222222222,5.0,-0.572222222222222
R8 Revolver | Llama Cannon (Battle-Scarred),1.8513513513513515,0.2888981030001826,10,1,1.3885135135135136,1.438905379685732,0.05039186617221847
StatTrak™ AUG | Aristocrat (Battle-Scarred),0.9513888888888888,,11,1,0.7135416666666666,0.7629216547338565,0.049379988067189906
Sealed Graffiti | Uh Oh (Desert Amber),0.1102362204724409,,19,1,0.08267716535433067,0.0,-0.08267716535433067
Souvenir PP-Bizon | Irradiated Alert (Minimal Wear),0.44,,24,1,0.33,0.0,-0.33
Sealed Graffiti | Uh Oh (Frog Green),0.1793103448275862,,20,1,0.13448275862068965,0.0,-0.13448275862068965
R8 Revolver | Memento (Battle-Scarred),0.2797202797202797,,24,1,0.20979020979020976,0.0,-0.20979020979020976
R8 Revolver | Memento (Factory New),1.7066666666666668,0.2995305411401114,10,1,1.28,1.0,-0.28
R8 Revolver | Memento (Field-Tested),0.5666666666666667,,43,1,0.425,0.0,-0.425
R8 Revolver | Memento (Minimal Wear),1.0733333333333333,,11,1,0.8049999999999999,0.0,-0.8049999999999999
R8 Revolver | Memento (Well-Worn),0.584070796460177,,41,1,0.43805309734513276,0.0,-0.43805309734513276
R8 Revolver | Night (Battle-Scarred),0.18796992481203,,23,1,0.1409774436090225,0.0,-0.1409774436090225
Sealed Graffiti | Uh Oh (Jungle Green),0.0797101449275362,,10,1,0.05978260869565215,0.0,-0.05978260869565215
Souvenir PP-Bizon | Irradiated Alert (Well-Worn),0.0547945205479452,,14,1,0.0410958904109589,0.0,-0.0410958904109589
Souvenir Glock-18 | High Beam (Factory New),0.9066666666666666,,20,1,0.6799999999999999,0.5649628018429763,-0.11503719815702362
R8 Revolver | Night (Well-Worn),0.3529411764705882,,12,1,0.2647058823529411,0.0,-0.2647058823529411
Sealed Graffiti | Happy Cat (Frog Green),0.0303030303030303,,15,1,0.022727272727272724,0.0,-0.022727272727272724
MP9 | Goo (Minimal Wear),1.0266666666666666,,9,1,0.77,1.0,0.22999999999999998
StatTrak™ MP9 | Broken Record (Minimal Wear),0.6842105263157895,0.5270726283497897,8,1,0.5131578947368421,0.0,-0.5131578947368421
StatTrak™ MAC-10 | Curse (Well-Worn),49.64102564102564,0.4910757321339082,6,1,37.23076923076923,33.08692982865427,-4.143839402114963
Sealed Graffiti | Happy Cat (Monster Purple),0.1942446043165467,,12,1,0.14568345323741003,0.0,-0.14568345323741003
Sealed Graffiti | Uh Oh (Shark White),0.0137931034482758,,9,1,0.01034482758620685,0.0,-0.01034482758620685
Sealed Graffiti | Happy Cat (SWAT Blue),0.2928571428571428,,18,1,0.2196428571428571,0.0,-0.2196428571428571
StatTrak™ MP9 | Broken Record (Well-Worn),0.2368421052631578,0.3933978962347216,6,1,0.17763157894736836,0.0,-0.17763157894736836
Sealed Graffiti | Uh Oh (Tracer Yellow),0.0381679389312977,,9,1,0.028625954198473275,0.0,-0.028625954198473275
AK-47 | Crossfade (Battle-Scarred),0.9,,28,1,0.675,0.5649628018429763,-0.11003719815702373
Sealed Graffiti | Uh Oh (Violent Violet),0.2281879194630872,,15,1,0.1711409395973154,0.0,-0.1711409395973154
AK-47 | Crossfade (Field-Tested),1.22,0.2357182925634315,7,1,0.915,1.0,0.08499999999999996
AK-47 | Crossfade (Minimal Wear),2.1466666666666665,0.2590681588729389,8,1,1.6099999999999999,1.854675315435264,0.2446753154352641
Galil AR | Control (Factory New),2.313333333333333,0.2666834824494292,7,1,1.7349999999999999,2.0,0.2650000000000001
AK-47 | Elite Build (Battle-Scarred),0.2066666666666666,,23,1,0.15499999999999997,0.0,-0.15499999999999997
StatTrak™ AUG | Aristocrat (Well-Worn),3.1842105263157894,0.5635993366074743,11,1,2.388157894736842,2.8615330005953483,0.4733751058585063
Galil AR | Control (Minimal Wear),0.4,,16,1,0.30000000000000004,0.0,-0.30000000000000004
AK-47 | Elite Build (Minimal Wear),1.8666666666666667,0.302545282134264,11,1,1.4,1.4716159951363894,0.0716159951363895
AK-47 | Elite Build (Well-Worn),0.3733333333333333,,51,1,0.27999999999999997,0.19634931430019514,-0.08365068569980483
AK-47 | Emerald Pinstripe (Battle-Scarred),1.7133333333333334,0.258538217281372,8,1,1.2850000000000001,1.0,-0.28500000000000014
Sealed Graffiti | Happy Cat (War Pig Pink),0.2397260273972602,,15,1,0.17979452054794515,0.0,-0.17979452054794515
Sealed Graffiti | Uh Oh (Wire Blue),0.3985507246376811,,16,1,0.2989130434782608,0.0,-0.2989130434782608
StatTrak™ FAMAS | Decommissioned (Minimal Wear),0.0266666666666666,,11,1,0.01999999999999995,0.0,-0.01999999999999995
AK-47 | Emerald Pinstripe (Well-Worn),1.7533333333333334,0.2420043727952503,7,1,1.315,1.0,-0.31499999999999995
Sealed Graffiti | Vega Squadron | Boston 2018,1.5203252032520325,0.3816969514368099,4,1,1.1402439024390243,1.0,-0.1402439024390243
Sealed Graffiti | Vega Squadron | Krakow 2017,1.1691176470588236,,12,1,0.8768382352941178,1.1691176470588236,0.29227941176470584
Galil AR | Crimson Tsunami (Well-Worn),1.3450704225352113,0.3245291187800722,12,1,1.0088028169014085,1.0,-0.008802816901408494
R8 Revolver | Skull Crusher (Battle-Scarred),0.84,,15,1,0.63,0.4674435551287779,-0.16255644487122212
R8 Revolver | Skull Crusher (Field-Tested),2.2266666666666666,0.3605269617073225,10,1,1.67,1.9987560416513883,0.3287560416513884
R8 Revolver | Skull Crusher (Well-Worn),1.0466666666666666,,16,1,0.7849999999999999,1.0466666666666666,0.2616666666666667
StatTrak™ SCAR-20 | Grotto (Battle-Scarred),0.0149253731343283,0.7071067811865476,6,1,0.011194029850746225,0.0,-0.011194029850746225
R8 Revolver | Survivalist (Factory New),0.0933333333333333,,11,1,0.06999999999999998,0.0,-0.06999999999999998
Souvenir Glock-18 | Nuclear Garden (Battle-Scarred),28.51094890510949,0.2866660521837573,7,1,21.38321167883212,23.72765520617821,2.3444435273460904
StatTrak™ Nova | Ocular (Battle-Scarred),4.921052631578948,,15,1,3.6907894736842106,1.0,-2.6907894736842106
StatTrak™ Sawed-Off | Limelight (Well-Worn),1.0347222222222223,,21,1,0.7760416666666667,0.0,-0.7760416666666667
Sealed Graffiti | Virtus.Pro | London 2018,1.174757281553398,,9,1,0.8810679611650485,1.0,0.11893203883495151
Galil AR | Dusk Ruins (Well-Worn),59.27522935779817,0.362596948959734,4,1,44.456422018348626,41.78152086664411,-2.6749011517045176
R8 Revolver | Tango (Factory New),0.46,,14,1,0.34500000000000003,0.23,-0.11500000000000002
StatTrak™ MP9 | Capillary (Minimal Wear),0.5133333333333333,,56,1,0.385,0.25666666666666665,-0.12833333333333335
R8 Revolver | Tango (Minimal Wear),0.02,,15,1,0.015,0.0,-0.015
StatTrak™ Glock-18 | Warhawk (Minimal Wear),0.0466666666666666,,17,1,0.03499999999999995,0.0,-0.03499999999999995
Sealed Graffiti | HellRaisers | Atlanta 2017,1.9047619047619049,0.3723764646673531,8,1,1.4285714285714286,1.0,-0.4285714285714286
StatTrak™ MP9 | Capillary (Well-Worn),1.015267175572519,,22,1,0.7614503816793894,0.0,-0.7614503816793894
Sealed Graffiti | Wings,0.0733333333333333,,17,1,0.05499999999999998,0.0,-0.05499999999999998
Galil AR | Firefight (Minimal Wear),0.2533333333333333,,20,1,0.18999999999999997,0.0,-0.18999999999999997
Sealed Graffiti | Winstrike Team | London 2018,1.0598290598290598,,11,1,0.7948717948717949,1.0,0.20512820512820507
Galil AR | Green Apple (Factory New),0.1133333333333333,,22,1,0.08499999999999998,0.0,-0.08499999999999998
StatTrak™ MAC-10 | Ensnared (Factory New),0.4266666666666667,,41,1,0.32,0.21333333333333335,-0.10666666666666666
StatTrak™ Nova | Ocular (Field-Tested),2.0789473684210527,0.4432247086492733,6,1,1.5592105263157894,1.0,-0.5592105263157894
StatTrak™ AUG | Chameleon (Well-Worn),19.416666666666668,0.7728384641345357,6,1,14.5625,14.220509959609222,-0.34199004039077785
Sticker | ANNIHILATION (Holo) | Rio 2022,0.1946902654867256,,18,1,0.1460176991150442,0.0,-0.1460176991150442
StatTrak™ MP9 | Dart (Field-Tested),0.94,,9,1,0.705,0.0,-0.705
StatTrak™ MAC-10 | Graven (Battle-Scarred),79.92241379310344,0.3914674340018762,11,1,59.94181034482759,54.28239630603552,-5.659414038792065
AK-47 | Head Shot (Battle-Scarred),4.446666666666666,0.3588030663103392,3,1,3.335,4.090716476083681,0.7557164760836814
StatTrak™ AUG | Death by Puppy (Well-Worn),20.31683168316832,0.2705457263137648,7,1,15.237623762376241,8.0,-7.237623762376241
Galil AR | Hunting Blind (Battle-Scarred),4.465517241379311,0.5864706953193657,5,1,3.3491379310344835,4.0,0.6508620689655165
StatTrak™ MAC-10 | Graven (Factory New),214.3720930232558,0.3788262005238462,8,1,160.77906976744185,150.03344556966996,-10.745624197771889
Galil AR | Hunting Blind (Field-Tested),5.116438356164384,2.4941972997977246,19,1,3.837328767123288,2.0,-1.8373287671232879
MP9 | Music Box (Well-Worn),46.6578947368421,0.6303416128102677,13,1,34.993421052631575,12.0,-22.993421052631575
StatTrak™ Nova | Ocular (Well-Worn),2.0526315789473686,0.3004414010145853,3,1,1.5394736842105265,1.0,-0.5394736842105265
StatTrak™ Nova | Plume (Battle-Scarred),0.1160714285714285,,18,1,0.08705357142857138,0.0,-0.08705357142857138
StatTrak™ SCAR-20 | Grotto (Minimal Wear),0.2666666666666666,,38,1,0.19999999999999996,0.0,-0.19999999999999996
StatTrak™ Nova | Plume (Field-Tested),0.04,,16,1,0.03,0.0,-0.03
StatTrak™ Glock-18 | Weasel (Battle-Scarred),0.0333333333333333,,21,1,0.024999999999999974,0.0,-0.024999999999999974
StatTrak™ FAMAS | Macabre (Battle-Scarred),8.72072072072072,0.1844199944674573,9,1,6.54054054054054,4.0,-2.5405405405405403
StatTrak™ MP9 | Deadly Poison (Field-Tested),0.1666666666666666,,15,1,0.12499999999999994,0.0,-0.12499999999999994
Souvenir R8 Revolver | Night (Factory New),0.4121621621621621,,17,1,0.3091216216216216,0.20608108108108106,-0.10304054054054054
StatTrak™ AUG | Luxe Trim (Minimal Wear),0.0266666666666666,,16,1,0.01999999999999995,0.0,-0.01999999999999995
Galil AR | Metallic Squeezer (Minimal Wear),0.3466666666666667,,37,1,0.26,0.0,-0.26
StatTrak™ Glock-18 | Weasel (Field-Tested),0.4933333333333333,,49,1,0.37,0.0,-0.37
SCAR-20 | Army Sheen (Field-Tested),3.150684931506849,0.3699877173987922,3,1,2.363013698630137,2.8615330005953483,0.49851930196521144
Galil AR | NV (Factory New),0.0333333333333333,,23,1,0.024999999999999974,0.0,-0.024999999999999974
MP9 | Orange Peel (Factory New),0.0666666666666666,,10,1,0.04999999999999995,0.0,-0.04999999999999995
StatTrak™ P250 | Splash (Field-Tested),77.04761904761905,0.3140125085605417,8,1,57.78571428571429,37.0,-20.785714285714292
Sealed Graffiti | Immortals | Krakow 2017,0.5538461538461539,,9,1,0.4153846153846154,0.0,-0.4153846153846154
Sealed Graffiti | Ivette,0.0266666666666666,,16,1,0.01999999999999995,0.0,-0.01999999999999995
Galil AR | O-Ranger (Factory New),0.0533333333333333,,18,1,0.03999999999999998,0.0,-0.03999999999999998
StatTrak™ FAMAS | Macabre (Well-Worn),6.486238532110092,0.3238270567946715,6,1,4.864678899082569,4.0,-0.8646788990825689
Souvenir M249 | Contrast Spray (Factory New),0.6853146853146853,,29,1,0.513986013986014,0.0,-0.513986013986014
SCAR-20 | Assault (Well-Worn),0.0642857142857142,,9,1,0.04821428571428565,0.0,-0.04821428571428565
Galil AR | Orange DDPAT (Battle-Scarred),30.704918032786885,2.576180816413542,8,1,23.028688524590166,15.0,-8.028688524590166
StatTrak™ FAMAS | Mecha Industries (Battle-Scarred),13.94890510948905,0.4614677608340185,4,1,10.461678832116789,11.96848758753664,1.5068087554198506
StatTrak™ Glock-18 | Weasel (Well-Worn),0.0933333333333333,,22,1,0.06999999999999998,0.0,-0.06999999999999998
StatTrak™ Sawed-Off | Morris (Factory New),0.2466666666666666,,20,1,0.18499999999999994,0.0,-0.18499999999999994
Souvenir R8 Revolver | Nitro (Well-Worn),0.0675675675675675,,16,1,0.05067567567567563,0.0,-0.05067567567567563
StatTrak™ AUG | Plague (Battle-Scarred),0.410958904109589,0.2736822259196124,8,1,0.3082191780821918,0.0,-0.3082191780821918
