market_hash_name,mean_price_usd,volatility,spike_count,risk_score_RF,safe_price_usd_RF
MAC-10 | Neon Rider (Well-Worn),11.151515151515152,0.2379935294922015,3,1.0,8.363636363636363
Souvenir Charm | Austin 2025 Highlight | AWP Double Kill,0.7931034482758621,,16,1.0,0.5948275862068966
SG 553 | Damascus Steel (Minimal Wear),0.8933333333333333,,31,1.0,0.6699999999999999
Souvenir Charm | Austin 2025 Highlight | AWP Kill,2.8285714285714287,1.1217459300720725,4,1.0,2.1214285714285714
Souvenir Charm | Austin 2025 Highlight | AWP Shutdown,0.7125,,12,1.0,0.534375
Souvenir Charm | Austin 2025 Highlight | AWP Slayer,2.58,,10,1.0,1.935
Galil AR | Signal (Factory New),1.6466666666666667,0.2958001991631159,7,1.0,1.235
Souvenir Charm | Austin 2025 Highlight | Ace Unleashed,3.615384615384616,0.2427011305575502,7,1.0,2.7115384615384617
Galil AR | Signal (Minimal Wear),0.1266666666666666,,24,1.0,0.09499999999999995
Souvenir Charm | Austin 2025 Highlight | Afterplant Secured,12.36734693877551,0.2403922556056613,3,1.0,9.275510204081632
Souvenir Charm | Austin 2025 Highlight | Airborne,14.764705882352942,0.4391724836284699,11,1.0,11.073529411764707
Negev | Boroque Sand (Battle-Scarred),0.9931506849315068,,16,1.0,0.7448630136986301
Galil AR | Stone Cold (Field-Tested),1.1333333333333333,0.3406188816916154,14,1.0,0.85
Souvenir Charm | Austin 2025 Highlight | Aleksib Double Kill,0.946808510638298,,28,1.0,0.7101063829787235
SG 553 | Darkwing (Factory New),2.52,0.2472611324041833,5,1.0,1.8900000000000001
StatTrak™ P250 | Muertos (Battle-Scarred),19.42635658914729,0.6797975888580376,3,1.0,14.569767441860467
Negev | Boroque Sand (Well-Worn),1.087248322147651,,11,1.0,0.8154362416107382
Negev | Bratatat (Battle-Scarred),0.7333333333333333,,25,1.0,0.5499999999999999
SG 553 | Darkwing (Minimal Wear),0.4066666666666667,,33,1.0,0.305
Souvenir MP9 | Latte Rush (Factory New),344.3809523809524,0.3897111015297694,1,1.0,258.28571428571433
Souvenir XM1014 | Ancient Lore (Well-Worn),2.504,0.262584137159167,5,1.0,1.8780000000000001
Negev | Bratatat (Well-Worn),0.8356164383561644,,29,1.0,0.6267123287671232
Souvenir Charm | Austin 2025 Highlight | Almost There,2.602739726027397,0.2442645153418037,5,1.0,1.9520547945205478
Souvenir Charm | Austin 2025 Highlight | Always Buy A Defuser,0.0693069306930693,,9,1.0,0.05198019801980197
Souvenir Charm | Austin 2025 Highlight | An Entry And A Donk,0.8390804597701149,,13,1.0,0.6293103448275862
Souvenir Charm | Austin 2025 Highlight | Anchor Man,5.476190476190476,0.8847801693697976,5,1.0,4.107142857142858
Galil AR | Tuxedo (Factory New),2.12,0.2886773163624811,9,1.0,1.59
Souvenir Charm | Austin 2025 Highlight | Anchoring Double Kill,5.425287356321839,2.840161401034346,14,1.0,4.068965517241379
Souvenir Charm | Austin 2025 Highlight | Applaud The Spray Transfer,98.0,17.962823751113856,4,1.0,73.5
