market_hash_name,mean_price_usd,volatility,spike_count,risk_score_SVM,safe_price_usd_SVM
Souvenir Charm | Austin 2025 Highlight | yuurih Double Kill,9.444444444444445,1.5676756161932348,4,1,7.083333333333334
Sealed Graffiti | Smarmy (Violent Violet),0.1111111111111111,,19,1,0.08333333333333333
Sealed Graffiti | Fart (Dust Brown),0.25,,10,1,0.1875
Souvenir Charm | Austin 2025 Highlight | yuurih Entry Fragger,8.704545454545455,2.177757677548324,10,1,6.528409090909092
Souvenir Charm | Austin 2025 Highlight | zont1x Triple Kill,0.686046511627907,,27,1,0.5145348837209303
G3SG1 | Scavenger (Minimal Wear),0.1111111111111111,,16,1,0.08333333333333333
Sealed Graffiti | Smirk (Battle Green),0.18518518518518517,,9,1,0.1388888888888889
Sealed Graffiti | Fart (Monster Purple),0.1411764705882353,,18,1,0.10588235294117647
Sealed Graffiti | Fart (Princess Pink),0.06578947368421052,,9,1,0.049342105263157895
G3SG1 | Stinger (Field-Tested),0.2111111111111111,,7,1,0.15833333333333333
G3SG1 | Stinger (Minimal Wear),1.2444444444444445,,8,1,0.9333333333333333
Sealed Graffiti | Smirk (Bazooka Pink),0.3333333333333333,,11,1,0.25
G3SG1 | The Executioner (Battle-Scarred),1.3294117647058823,1.0947776832422798,2,1,0.9970588235294118
G3SG1 | The Executioner (Field-Tested),1.3,0.28446879872206343,6,1,0.9750000000000001
Sealed Graffiti | Fart (Shark White),0.06976744186046512,,10,1,0.05232558139534883
MP9 | Airlock (Field-Tested),1.7666666666666666,0.39948894830287734,12,1,1.325
Sealed Graffiti | Smirk (Blood Red),0.14102564102564102,,9,1,0.10576923076923077
Sealed Graffiti | Smirk (Brick Red),0.04878048780487805,,15,1,0.03658536585365854
StatTrak™ MP7 | Bloodsport (Field-Tested),6.277777777777778,0.36249022588527996,3,1,4.708333333333333
"StatTrak™ Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE",0.05555555555555555,,20,1,0.041666666666666664
StatTrak™ Glock-18 | Warhawk (Minimal Wear),0.07777777777777778,,17,1,0.058333333333333334
G3SG1 | Ventilator (Factory New),0.044444444444444446,,10,1,0.03333333333333333
StatTrak™ AWP | Lightning Strike (Minimal Wear),2082.4347826086955,0.5693178276844616,7,1,1561.8260869565215
StatTrak™ MP7 | Bloodsport (Well-Worn),11.627118644067796,0.47212163605806484,2,1,8.720338983050848
MP9 | Army Sheen (Factory New),0.12222222222222222,,18,1,0.09166666666666666
"StatTrak™ Music Kit | Tree Adams, Seventh Moon",1.511111111111111,0.3074865983609752,7,1,1.1333333333333333
Patch | paiN Gaming (Gold) | Stockholm 2021,16.07936507936508,0.3649926126332606,5,1,12.05952380952381
Souvenir MP9 | Storm (Minimal Wear),1.4444444444444444,0.477801399885329,17,1,1.0833333333333333
MP9 | Bioleak (Factory New),0.3111111111111111,,15,1,0.23333333333333334
Sealed Graffiti | Smirk (Princess Pink),0.2,,16,1,0.15000000000000002
Souvenir UMP-45 | Indigo (Field-Tested),0.9333333333333333,,7,1,0.7
Galil AR | Acid Dart (Factory New),0.022222222222222223,,14,1,0.016666666666666666
MP9 | Bioleak (Well-Worn),0.011111111111111112,,7,1,0.008333333333333333
StatTrak™ M4A4 | 龍王 (Dragon King) (Well-Worn),64.49350649350649,0.5680902172976479,4,1,48.370129870129865
Sealed Graffiti | Fnatic | Boston 2018,2.3859649122807016,0.35895822890833706,6,1,1.789473684210526
Souvenir UMP-45 | Indigo (Well-Worn),0.5443037974683544,,19,1,0.40822784810126583
Galil AR | Akoben (Factory New),0.4111111111111111,,21,1,0.30833333333333335
Poorly Drawn Capsule,0.13953488372093023,,8,1,0.10465116279069767
Sealed Graffiti | Smirk (Tracer Yellow),0.4482758620689655,,8,1,0.33620689655172414
StatTrak™ P2000 | Oceanic (Factory New),0.7333333333333333,,23,1,0.5499999999999999
MP9 | Broken Record (Factory New),1.5555555555555556,,8,1,1.1666666666666667
"StatTrak™ Music Kit | Twin Atlantic, GLA",0.3111111111111111,,18,1,0.23333333333333334
MP9 | Broken Record (Minimal Wear),0.19444444444444445,,9,1,0.14583333333333334
Sealed Graffiti | G2 Esports | Krakow 2017,1.7380952380952381,0.2744106499742258,5,1,1.3035714285714286
R8 Revolver | Amber Fade (Factory New),0.8333333333333334,,27,1,0.625
StatTrak™ MP7 | Cirrus (Minimal Wear),0.8444444444444444,,27,1,0.6333333333333333
Galil AR | Aqua Terrace (Field-Tested),679.015625,1.329624394112243,29,1,509.26171875
Galil AR | Aqua Terrace (Minimal Wear),318.18390804597703,0.3473547174087686,8,1,238.6379310344828
Souvenir Negev | CaliCamo (Battle-Scarred),2.1785714285714284,2.5281983029087023,2,1,1.6339285714285712
R8 Revolver | Amber Fade (Well-Worn),0.9176470588235294,,28,1,0.6882352941176471
Galil AR | Black Sand (Factory New),0.9222222222222223,,23,1,0.6916666666666667
Souvenir UMP-45 | Late Night Transit (Minimal Wear),0.047619047619047616,,7,1,0.03571428571428571
R8 Revolver | Banana Cannon (Factory New),1.4777777777777779,0.25890671373046487,5,1,1.1083333333333334
StatTrak™ SG 553 | Tiger Moth (Battle-Scarred),1.2727272727272727,0.3980214223274659,4,1,0.9545454545454546
Souvenir Desert Eagle | Urban DDPAT (Minimal Wear),1.3444444444444446,0.48888044121424884,6,1,1.0083333333333333
AK-47 | Crossfade (Battle-Scarred),0.9111111111111111,,14,1,0.6833333333333333
Sealed Graffiti | Smooch (Cash Green),0.05555555555555555,,8,1,0.041666666666666664
AK-47 | Crossfade (Field-Tested),1.3666666666666667,0.30465918189834684,7,1,1.025
Souvenir Desert Eagle | Urban DDPAT (Well-Worn),0.4367816091954023,,7,1,0.3275862068965517
AK-47 | Crossfade (Well-Worn),1.1444444444444444,0.28996230955102326,6,1,0.8583333333333333
AK-47 | Elite Build (Battle-Scarred),0.3333333333333333,,21,1,0.25
Souvenir UMP-45 | Mechanism (Battle-Scarred),0.15476190476190477,0.2773500981126146,6,1,0.11607142857142858
MP9 | Capillary (Factory New),0.1,,10,1,0.07500000000000001
AK-47 | Elite Build (Minimal Wear),1.9111111111111112,0.30748659836097525,7,1,1.4333333333333333
AK-47 | Elite Build (Well-Worn),0.5555555555555556,,27,1,0.4166666666666667
AK-47 | Emerald Pinstripe (Battle-Scarred),1.6111111111111112,0.3128381724877497,7,1,1.2083333333333335
Souvenir UMP-45 | Mechanism (Factory New),0.011111111111111112,,7,1,0.008333333333333333
R8 Revolver | Bone Forged (Factory New),0.022222222222222223,,8,1,0.016666666666666666
MP9 | Capillary (Well-Worn),0.20454545454545456,,9,1,0.1534090909090909
AK-47 | Emerald Pinstripe (Well-Worn),1.6666666666666667,0.27083742565201363,5,1,1.25
MP9 | Cobalt Paisley (Battle-Scarred),0.011111111111111112,,7,1,0.008333333333333333
StatTrak™ UMP-45 | Moonrise (Well-Worn),0.7464788732394366,,16,1,0.5598591549295775
MP9 | Cobalt Paisley (Field-Tested),0.7111111111111111,,18,1,0.5333333333333333
StatTrak™ SCAR-20 | Fragments (Factory New),0.06666666666666667,,10,1,0.05
MP9 | Cobalt Paisley (Well-Worn),0.2222222222222222,,16,1,0.16666666666666666
StatTrak™ MP7 | Guerrilla (Field-Tested),0.8045977011494253,,28,1,0.603448275862069
Souvenir Negev | Infrastructure (Minimal Wear),0.08888888888888889,,12,1,0.06666666666666667
StatTrak™ P90 | Chopper (Field-Tested),0.9222222222222223,,8,1,0.6916666666666667
Sealed Graffiti | Smooch (Shark White),0.011363636363636364,,7,1,0.008522727272727272
MP9 | Dart (Factory New),1.6666666666666667,0.27772953842852044,5,1,1.25
MP9 | Dart (Field-Tested),0.1111111111111111,,19,1,0.08333333333333333
MP9 | Dart (Minimal Wear),0.8666666666666667,,11,1,0.65
StatTrak™ Glock-18 | Weasel (Battle-Scarred),0.022222222222222223,,8,1,0.016666666666666666
Souvenir Dual Berettas | Briar (Field-Tested),0.38202247191011235,,18,1,0.28651685393258425
Souvenir Dual Berettas | Briar (Minimal Wear),0.4111111111111111,,48,1,0.30833333333333335
StatTrak™ Five-SeveN | Angry Mob (Well-Worn),21.957142857142856,0.37556278751650196,3,1,16.46785714285714
MP9 | Deadly Poison (Minimal Wear),0.05555555555555555,,11,1,0.041666666666666664
Galil AR | Connexion (Factory New),1.9666666666666666,0.32155044906666236,5,1,1.4749999999999999
Souvenir Negev | Nuclear Waste (Minimal Wear),1.488888888888889,0.26499947000159,5,1,1.1166666666666667
MP9 | Dry Season (Battle-Scarred),14.64406779661017,0.40889753364168463,2,1,10.983050847457626
R8 Revolver | Canal Spray (Minimal Wear),2.1555555555555554,0.29461578733935107,3,1,1.6166666666666667
StatTrak™ MP7 | Guerrilla (Well-Worn),0.25555555555555554,,10,1,0.19166666666666665
Galil AR | Control (Factory New),2.5444444444444443,0.31153758850265745,6,1,1.9083333333333332
StatTrak™ Glock-18 | Weasel (Field-Tested),0.34444444444444444,,26,1,0.2583333333333333
Galil AR | Control (Minimal Wear),0.2,,10,1,0.15000000000000002
Sticker | Ain't A Rental (Foil),0.8095238095238095,,7,1,0.6071428571428572
Souvenir UMP-45 | Scorched (Factory New),0.2987012987012987,,7,1,0.22402597402597402
StatTrak™ SSG 08 | Turbo Peek (Well-Worn),26.4468085106383,0.2893997938919878,3,1,19.835106382978722
StatTrak™ P90 | Cocoa Rampage (Battle-Scarred),0.10975609756097561,,10,1,0.08231707317073171
AK-47 | Head Shot (Battle-Scarred),4.722222222222222,0.4610061021260612,3,1,3.541666666666667
Souvenir Nova | Candy Apple (Minimal Wear),108.49438202247191,0.40765261937447317,5,1,81.37078651685394
Galil AR | Crimson Tsunami (Well-Worn),1.3604651162790697,0.3620668957178907,9,1,1.0203488372093024
StatTrak™ UMP-45 | Motorized (Factory New),0.13333333333333333,,22,1,0.1
Sticker | AdreN | Katowice 2019,0.05555555555555555,,10,1,0.041666666666666664
Souvenir UMP-45 | Urban DDPAT (Factory New),14.466666666666667,0.3717282460953137,6,1,10.85
Souvenir Nova | Interlock (Battle-Scarred),16.517857142857142,0.5702348178781164,10,1,12.388392857142858
StatTrak™ Tec-9 | Snek-9 (Minimal Wear),0.4111111111111111,,24,1,0.30833333333333335
Souvenir Nova | Interlock (Field-Tested),0.044444444444444446,,10,1,0.03333333333333333
Souvenir UMP-45 | Urban DDPAT (Minimal Wear),0.0449438202247191,,10,1,0.033707865168539325
R8 Revolver | Crimson Web (Minimal Wear),0.011111111111111112,,7,1,0.008333333333333333
MP9 | Goo (Field-Tested),0.011111111111111112,,7,1,0.008333333333333333
Galil AR | Dusk Ruins (Well-Worn),77.95384615384616,0.4692244395127381,4,1,58.46538461538462
MP9 | Goo (Minimal Wear),1.6888888888888889,,9,1,1.2666666666666666
StatTrak™ P90 | Cocoa Rampage (Well-Worn),0.024390243902439025,,14,1,0.01829268292682927
StatTrak™ Tec-9 | Bamboozle (Field-Tested),0.7444444444444445,,13,1,0.5583333333333333
R8 Revolver | Desert Brush (Factory New),0.05555555555555555,,10,1,0.041666666666666664
StatTrak™ XM1014 | Black Tie (Battle-Scarred),0.25609756097560976,,14,1,0.19207317073170732
Galil AR | Firefight (Factory New),5.644444444444445,0.2149164391915463,5,1,4.233333333333333
StatTrak™ Negev | Desert-Strike (Factory New),0.1,,21,1,0.07500000000000001
Galil AR | Firefight (Minimal Wear),0.4,,19,1,0.30000000000000004
Souvenir Dual Berettas | Oil Change (Battle-Scarred),0.023529411764705882,,9,1,0.01764705882352941
Galil AR | Green Apple (Factory New),0.18888888888888888,,22,1,0.14166666666666666
StatTrak™ Five-SeveN | Capillary (Minimal Wear),0.03333333333333333,,9,1,0.025
Souvenir USP-S | Check Engine (Battle-Scarred),5.390804597701149,0.24817009141400917,5,1,4.043103448275862
StatTrak™ P2000 | Red Wing (Battle-Scarred),0.5833333333333334,0.38301617314271325,9,1,0.4375
Sticker | Apeks (Glitter) | Copenhagen 2024,0.022222222222222223,,8,1,0.016666666666666666
StatTrak™ P2000 | Red Wing (Field-Tested),0.2777777777777778,0.3535533905932738,6,1,0.20833333333333334
R8 Revolver | Grip (Factory New),0.011111111111111112,,7,1,0.008333333333333333
Souvenir USP-S | Check Engine (Well-Worn),29.451219512195124,1.831395503813966,13,1,22.088414634146343
Galil AR | Hunting Blind (Battle-Scarred),4.841269841269841,0.789709611321809,4,1,3.6309523809523805
StatTrak™ M249 | Aztec (Battle-Scarred),0.5063291139240507,,23,1,0.379746835443038
Galil AR | Hunting Blind (Field-Tested),3.686046511627907,0.32461110269800847,8,1,2.76453488372093
StatTrak™ MAC-10 | Cat Fight (Field-Tested),2.4166666666666665,0.3080137937609401,2,1,1.8125
Galil AR | Hunting Blind (Well-Worn),3.411764705882353,0.30372607010364516,3,1,2.5588235294117645
StatTrak™ M249 | Aztec (Field-Tested),0.7888888888888889,,18,1,0.5916666666666667
StatTrak™ P2000 | Red Wing (Minimal Wear),0.6111111111111112,,10,1,0.45833333333333337
StatTrak™ AWP | Redline (Well-Worn),142.01408450704224,0.23643902750531592,5,1,106.51056338028168
Souvenir USP-S | Forest Leaves (Battle-Scarred),135.26027397260273,0.8072810533977952,2,1,101.44520547945206
Souvenir FAMAS | 2A2F (Battle-Scarred),0.047619047619047616,,7,1,0.03571428571428571
